filename;rel_filepath;n_chunks;first_message;processed_at
'test_watchdog_process_folder_test_2_txt_result.npy';'test_watchdog_process_folder_test_2_txt_result.npy';1;'Thu Jul 18, 2024 at 18:41:26';'Thu Jul 18, 2024 at 18:41:26'
'test_watchdog_process_folder__ipynb_checkpoints_test_1-checkpoint_txt_result.npy';'test_watchdog_process_folder__ipynb_checkpoints_test_1-checkpoint_txt_result.npy';1;'Thu Jul 18, 2024 at 18:41:26';'Thu Jul 18, 2024 at 18:41:26'
'test_watchdog_process_folder_test_1_txt_result.npy';'test_watchdog_process_folder_test_1_txt_result.npy';1;'Thu Jul 18, 2024 at 18:41:26';'Thu Jul 18, 2024 at 18:41:26'
'test_watchdog_process_folder__ipynb_checkpoints_test_2-checkpoint_txt_result.npy';'test_watchdog_process_folder__ipynb_checkpoints_test_2-checkpoint_txt_result.npy';1;'Thu Jul 18, 2024 at 18:41:26';'Thu Jul 18, 2024 at 18:41:26'
'test_watchdog_process_folder_2__ipynb_checkpoints_test_1-checkpoint_txt_result.npy';'test_watchdog_process_folder_2__ipynb_checkpoints_test_1-checkpoint_txt_result.npy';1;'Thu Jul 18, 2024 at 18:41:26';'Thu Jul 18, 2024 at 18:41:26'
'test_watchdog_process_folder_2__ipynb_checkpoints_test_2-checkpoint_txt_result.npy';'test_watchdog_process_folder_2__ipynb_checkpoints_test_2-checkpoint_txt_result.npy';1;'Thu Jul 18, 2024 at 18:41:26';'Thu Jul 18, 2024 at 18:41:26'
'test_watchdog_process_folder_test_2_txt_result.npy';'test_watchdog_process_folder_test_2_txt_result.npy';1;'Thu Jul 18, 2024 at 18:41:27';'Thu Jul 18, 2024 at 18:41:27'
'test_watchdog_process_folder_test_1_txt_result.npy';'test_watchdog_process_folder_test_1_txt_result.npy';1;'Thu Jul 18, 2024 at 18:41:27';'Thu Jul 18, 2024 at 18:41:27'
'test_watchdog_process_folder__ipynb_checkpoints_test_1-checkpoint_txt_result.npy';'test_watchdog_process_folder__ipynb_checkpoints_test_1-checkpoint_txt_result.npy';1;'Thu Jul 18, 2024 at 18:41:27';'Thu Jul 18, 2024 at 18:41:27'
'test_watchdog_process_folder__ipynb_checkpoints_test_2-checkpoint_txt_result.npy';'test_watchdog_process_folder__ipynb_checkpoints_test_2-checkpoint_txt_result.npy';1;'Thu Jul 18, 2024 at 18:41:27';'Thu Jul 18, 2024 at 18:41:27'
'test_watchdog_process_folder_2__ipynb_checkpoints_test_1-checkpoint_txt_result.npy';'test_watchdog_process_folder_2__ipynb_checkpoints_test_1-checkpoint_txt_result.npy';1;'Thu Jul 18, 2024 at 18:41:27';'Thu Jul 18, 2024 at 18:41:27'
